DATE,PRODUCTION_WH
2016-06-25,11957.0
2016-06-26,20094.0
2016-06-27,10952.0
2016-06-28,32607.0
2016-06-29,26544.0
2016-06-30,12208.0
2016-07-01,14091.0
2016-07-02,27506.0
2016-07-03,20603.0
2016-07-04,15508.0
2016-07-05,15708.0
2016-07-06,34385.0
2016-07-07,28041.0
2016-07-08,27833.0
2016-07-09,29551.0
2016-07-10,33110.0
2016-07-11,24290.0
2016-07-12,27241.0
2016-07-13,13590.0
2016-07-14,25860.0
2016-07-15,30757.0
2016-07-16,17043.0
2016-07-17,21016.0
2016-07-18,38981.0
2016-07-19,40279.0
2016-07-20,38907.0
2016-07-21,34348.0
2016-07-22,21569.0
2016-07-23,10440.0
2016-07-24,33553.0
2016-07-25,18088.0
2016-07-26,33190.0
2016-07-27,22088.0
2016-07-28,23128.0
2016-07-29,18560.0
2016-07-30,22776.0
2016-07-31,19327.0
2016-08-01,28443.0
2016-08-02,6198.0
2016-08-03,4788.0
2016-08-04,16356.0
2016-08-05,17625.0
2016-08-06,18831.0
2016-08-07,29425.0
2016-08-08,15458.0
2016-08-09,30734.0
2016-08-10,18683.0
2016-08-11,9490.0
2016-08-12,17108.0
2016-08-13,29938.0
2016-08-14,31943.0
2016-08-15,35305.0
2016-08-16,35047.0
2016-08-17,37486.0
2016-08-18,27840.0
2016-08-19,10520.0
2016-08-20,21205.0
2016-08-21,12851.0
2016-08-22,22490.0
2016-08-23,35857.0
2016-08-24,36371.0
2016-08-25,35794.0
2016-08-26,32714.0
2016-08-27,31623.0
2016-08-28,25839.0
2016-08-29,12263.0
2016-08-30,35128.0
2016-08-31,34298.0
2016-09-01,14290.0
2016-09-02,31706.0
2016-09-03,17554.0
2016-09-04,13645.0
2016-09-05,16558.0
2016-09-06,13016.0
2016-09-07,35361.0
2016-09-08,33105.0
2016-09-09,33961.0
2016-09-10,33332.0
2016-09-11,9018.0
2016-09-12,31113.0
2016-09-13,30364.0
2016-09-14,29092.0
2016-09-15,26274.0
2016-09-16,17297.0
2016-09-17,8829.0
2016-09-18,14132.0
2016-09-19,31202.0
2016-09-20,24633.0
2016-09-21,13170.0
2016-09-22,23192.0
2016-09-23,22664.0
2016-09-24,27782.0
2016-09-25,27301.0
2016-09-26,19463.0
2016-09-27,30273.0
2016-09-28,18563.0
2016-09-29,12146.0
2016-09-30,10940.0
2016-10-01,12993.0
2016-10-02,10551.0
2016-10-03,11123.0
2016-10-04,6868.0
2016-10-05,28626.0
2016-10-06,15565.0
2016-10-07,3726.0
2016-10-08,14125.0
2016-10-09,20542.0
2016-10-10,14960.0
2016-10-11,22829.0
2016-10-12,1902.0
2016-10-13,20339.0
2016-10-14,5717.0
2016-10-15,13718.0
2016-10-16,24627.0
2016-10-17,9436.0
2016-10-18,8049.0
2016-10-19,5748.0
2016-10-20,6290.0
2016-10-21,11112.0
2016-10-22,5911.0
2016-10-23,5265.0
2016-10-24,2359.0
2016-10-25,5672.0
2016-10-26,19896.0
2016-10-27,3445.0
2016-10-28,2502.0
2016-10-29,11049.0
2016-10-30,19962.0
2016-10-31,20364.0
2016-11-01,16464.0
2016-11-02,16162.0
2016-11-03,13533.0
2016-11-04,6786.0
2016-11-05,7740.0
2016-11-06,7013.0
2016-11-07,2751.0
2016-11-08,3750.0
2016-11-09,1526.0
2016-11-10,7077.0
2016-11-11,1836.0
2016-11-12,3222.0
2016-11-13,1392.0
2016-11-14,5520.0
2016-11-15,996.0
2016-11-16,1141.0
2016-11-17,3950.0
2016-11-18,6448.0
2016-11-19,7437.0
2016-11-20,5026.0
2016-11-21,3407.0
2016-11-22,7553.0
2016-11-23,5408.0
2016-11-24,8278.0
2016-11-25,10539.0
2016-11-26,1227.0
2016-11-27,2868.0
2016-11-28,15497.0
2016-11-29,16396.0
2016-11-30,15430.0
2016-12-01,1348.0
2016-12-02,3365.0
2016-12-03,11207.0
2016-12-04,15979.0
2016-12-05,13932.0
2016-12-06,8000.0
2016-12-07,6670.0
2016-12-08,6553.0
2016-12-09,5537.0
2016-12-10,4308.0
2016-12-11,2319.0
2016-12-12,4284.0
2016-12-13,1035.0
2016-12-14,12067.0
2016-12-15,12224.0
2016-12-16,4444.0
2016-12-17,1018.0
2016-12-18,622.0
2016-12-19,7555.0
2016-12-20,8886.0
2016-12-21,8024.0
2016-12-22,1875.0
2016-12-23,6868.0
2016-12-24,4115.0
2016-12-25,660.0
2016-12-26,4799.0
2016-12-27,11851.0
2016-12-28,2180.0
2016-12-29,13191.0
2016-12-30,14532.0
2016-12-31,2944.0
2017-01-01,2961.0
2017-01-02,2115.0
2017-01-03,8614.0
2017-01-04,3020.0
2017-01-05,10169.0
2017-01-06,13014.0
2017-01-07,821.0
2017-01-08,1334.0
2017-01-09,3756.0
2017-01-10,2497.0
2017-01-11,1047.0
2017-01-12,2971.0
2017-01-13,6392.0
2017-01-14,4330.0
